Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,25741","-0,14364","1,0287",0,0,0,"0,40655","0,0014019","-9,084E-08","3,2268E-09","0,0013967","-4,9043E-09","0,0026076",0,0,0,0,0,0,package://Hexapod_URDF/meshes/base_link.STL,"0,74902","0,74902","0,74902",1,0,0,0,0,0,0,package://Hexapod_URDF/meshes/base_link.STL,,tapaHEX.ipt-1;BaseHEX.ipt-1;UnionCuerpo.ipt-3;UnionCuerpo.ipt-1;UnionCuerpo.ipt-2;UnionCuerpo.ipt-6;EnsambleMotor_Solid-16/RudderDisk v2.ipt-1;EnsambleMotor_Solid-16/AuxRudderDisk v2.ipt-1;EnsambleMotor_Solid-13/AuxRudderDisk v2.ipt-1;EnsambleMotor_Solid-13/RudderDisk v2.ipt-1;UnionCuerpo.ipt-5;UnionCuerpo.ipt-4;EnsambleMotor_Solid-10/RudderDisk v2.ipt-1;EnsambleMotor_Solid-10/AuxRudderDisk v2.ipt-1;EnsambleMotor_Solid-7/RudderDisk v2.ipt-1;EnsambleMotor_Solid-7/AuxRudderDisk v2.ipt-1;EnsambleMotor_Solid-1/AuxRudderDisk v2.ipt-1;EnsambleMotor_Solid-1/RudderDisk v2.ipt-1;EnsambleMotor_Solid-4/RudderDisk v2.ipt-1;EnsambleMotor_Solid-4/AuxRudderDisk v2.ipt-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1A_link,"0,03152","-0,0009637","0,0010537",0,0,0,"0,02637","3,3312E-06","1,6141E-07","7,0361E-07","9,4272E-06","-2,6999E-08","9,2519E-06",0,0,0,0,0,0,package://Hexapod_URDF/meshes/1A_link.STL,"0,1098","0,1098","0,1098",1,0,0,0,0,0,0,package://Hexapod_URDF/meshes/1A_link.STL,,EnsambleMotor_Solid-16/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-16/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-16/YB-SD15M-Bottom-Cover-LD v2-1;Coxa.ipt-6;EnsambleMotor_Solid-17/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-17/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-17/YB-SD15M-Bottom-Cover-LD v2-1,Origin_1A_joint,Eje1A,1A_joint,revolute,"-0,26054","-1,0121","-0,28139","-1,5708","1,4948","-3,1416",base_link,0,0,0,0,0,0,0,,,,,,,,
1B_link,"-0,10187","-0,0033409","-0,0039795",0,0,0,"0,039333","6,1006E-06","-5,0505E-06","-1,0915E-05","7,8386E-05","-1,3547E-06","7,6904E-05",0,0,0,0,0,0,package://Hexapod_URDF/meshes/1B_link.STL,"0,74902","0,74902","0,74902",1,0,0,0,0,0,0,package://Hexapod_URDF/meshes/1B_link.STL,,femurAux.ipt-6;EnsambleMotor_Solid-18/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-18/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-18/YB-SD15M-Bottom-Cover-LD v2-1;EnsambleMotor_Solid-17/AuxRudderDisk v2.ipt-1;tibiaMot.0004.ipt-6;EnsambleMotor_Solid-17/RudderDisk v2.ipt-1,Origin_1B_joint,Eje1B,1B_joint,revolute,"0,06362","-0,00057714","0,005701","1,5708","0,84229","3,1325",1A_link,"-3,2141E-05","-3,6023E-05",-1,0,0,0,0,,,,,,,,
1C_link,"-0,021327","0,01837","-0,029381",0,0,0,"0,054482","1,312E-05","1,8239E-07","-5,3099E-06","5,9341E-05","1,3395E-07","6,5197E-05",0,0,0,0,0,0,package://Hexapod_URDF/meshes/1C_link.STL,"0,64706","0,64706","0,64706",1,0,0,0,0,0,0,package://Hexapod_URDF/meshes/1C_link.STL,,tibianueva.ipt-6;EnsambleMotor_Solid-18/AuxRudderDisk v2.ipt-1;EnsambleMotor_Solid-18/RudderDisk v2.ipt-1,Origin_1C_joint,Eje1C,1C_joint,revolute,"-0,16408","-0,0084589","-0,027239","1,5708",0,"2,2612",1B_link,0,0,0,0,0,0,0,,,,,,,,
2A_link,"0,03152","-0,00098471","-0,020046",0,0,0,"0,02637","3,3312E-06","1,6154E-07","7,0359E-07","9,4272E-06","-2,7014E-08","9,2519E-06",0,0,0,0,0,0,package://Hexapod_URDF/meshes/2A_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Hexapod_URDF/meshes/2A_link.STL,,EnsambleMotor_Solid-13/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-13/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-13/YB-SD15M-Bottom-Cover-LD v2-1;Coxa.ipt-5;EnsambleMotor_Solid-14/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-14/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-14/YB-SD15M-Bottom-Cover-LD v2-1,Origin_2A_joint,Eje2A,2A_joint,revolute,"-0,37826","-1,0332","-0,20983","-1,5708","0,4478","-3,1416",base_link,0,0,0,0,0,0,0,,,,,,,,
2B_link,"0,10188","0,0033576","-0,0040006",0,0,0,"0,039333","6,1007E-06","-5,0505E-06","1,0915E-05","7,8386E-05","1,3547E-06","7,6904E-05",0,0,0,0,0,0,package://Hexapod_URDF/meshes/2B_link.STL,"0,74902","0,74902","0,74902",1,0,0,0,0,0,0,package://Hexapod_URDF/meshes/2B_link.STL,,tibiaMot.0004.ipt-5;femurAux.ipt-5;EnsambleMotor_Solid-15/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-15/YB-SD15M-Bottom-Cover-LD v2-1;EnsambleMotor_Solid-15/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-14/RudderDisk v2.ipt-1;EnsambleMotor_Solid-14/AuxRudderDisk v2.ipt-1,Origin_2B_joint,Eje2B,2B_joint,revolute,"0,063599","-0,00057839","-0,0154","-1,5708","-1,0606","-0,0090858",2A_link,0,0,-1,0,0,0,0,,,,,,,,
2C_link,"0,029381","0,018667","0,032322",0,0,0,"0,054482","6,5197E-05","1,3456E-07","-5,3099E-06","5,9341E-05","1,781E-07","1,312E-05",0,0,0,0,0,0,package://Hexapod_URDF/meshes/2C_link.STL,"0,95686","0,95686","0,95686",1,0,0,0,0,0,0,package://Hexapod_URDF/meshes/2C_link.STL,,EnsambleMotor_Solid-15/AuxRudderDisk v2.ipt-1;EnsambleMotor_Solid-15/RudderDisk v2.ipt-1;tibianueva.ipt-5,Origin_2C_joint,Eje2C,2C_joint,revolute,"0,1711",0,"0,0097395","-1,5708",0,"0,6562",2B_link,0,0,0,0,0,0,0,,,,,,,,
3A_link,"0,03152","-0,00099274","-0,020046",0,0,0,"0,02637","3,3313E-06","1,6268E-07","7,0357E-07","9,4272E-06","-2,7144E-08","9,2519E-06",0,0,0,0,0,0,package://Hexapod_URDF/meshes/3A_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Hexapod_URDF/meshes/3A_link.STL,,EnsambleMotor_Solid-10/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-10/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-10/YB-SD15M-Bottom-Cover-LD v2-1;Coxa.ipt-4;EnsambleMotor_Solid-11/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-11/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-11/YB-SD15M-Bottom-Cover-LD v2-1,Origin_3A_joint,Eje3A,3A_joint,revolute,"-0,37491","-1,0332","-0,071745","-1,5708","-0,6336","3,1416",base_link,0,0,0,0,0,0,0,,,,,,,,
3B_link,"0,10188","0,0033575","-0,0039943",0,0,0,"0,039333","6,0999E-06","-5,0506E-06","1,0913E-05","7,8386E-05","1,3546E-06","7,6904E-05",0,0,0,0,0,0,package://Hexapod_URDF/meshes/3B_link.STL,"0,74902","0,74902","0,74902",1,0,0,0,0,0,0,package://Hexapod_URDF/meshes/3B_link.STL,,tibiaMot.0004.ipt-4;EnsambleMotor_Solid-12/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-12/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-12/YB-SD15M-Bottom-Cover-LD v2-1;EnsambleMotor_Solid-11/RudderDisk v2.ipt-1;EnsambleMotor_Solid-11/AuxRudderDisk v2.ipt-1;femurAux.ipt-4,Origin_3B_joint,Eje3B,3B_joint,revolute,"0,063599","-0,0005902","-0,0154","-1,5708","-1,1557","-0,0092768",3A_link,0,0,-1,0,0,0,0,,,,,,,,
3C_link,"-0,032318","-0,0088673","-0,02938",0,0,0,"0,054482","1,312E-05","1,8457E-07","-5,3098E-06","5,9341E-05","1,3357E-07","6,5197E-05",0,0,0,0,0,0,package://Hexapod_URDF/meshes/3C_link.STL,"0,64706","0,64706","0,64706",1,0,0,0,0,0,0,package://Hexapod_URDF/meshes/3C_link.STL,,tibianueva.ipt-4;EnsambleMotor_Solid-12/RudderDisk v2.ipt-1;EnsambleMotor_Solid-12/AuxRudderDisk v2.ipt-1,Origin_3C_joint,Eje3C,3C_joint,revolute,"0,1711",0,0,"1,5709","2,2069E-05","-0,76529",3B_link,"-3,5866E-05",-1,"-9,8204E-05",0,0,0,0,,,,,,,,
