Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,257411561544365","-1,02887073117159","-0,143644650111285",0,0,0,"0,394164283837447","0,00140146072401275","-3,22590645980393E-09","-9,08398049386088E-08","0,00260686785981137","4,90300888833374E-09","0,00139631961979505",0,0,0,0,0,0,package://hexapod_description/meshes/base_link.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://hexapod_description/meshes/base_link.STL,,tapaHEX.ipt-1;BaseHEX.ipt-1;UnionCuerpo.ipt-3;UnionCuerpo.ipt-1;UnionCuerpo.ipt-2;UnionCuerpo.ipt-4;UnionCuerpo.ipt-5;UnionCuerpo.ipt-6,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1A_link,"0,028337480694777","0,00183431937361048","0,00171011164356782",0,0,0,"0,0284343546565839","3,40430537672247E-06","-2,51364666691777E-07","7,03831236602255E-07","9,48815427932301E-06","2,06447610692525E-08","9,38157843537786E-06",0,0,0,0,0,0,package://hexapod_description/meshes/1A_link.STL,"0,109803921568627","0,109803921568627","0,109803921568627",1,0,0,0,0,0,0,package://hexapod_description/meshes/1A_link.STL,,EnsambleMotor_Solid-16/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-16/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-16/YB-SD15M-Bottom-Cover-LD v2-1;Coxa.ipt-6;EnsambleMotor_Solid-17/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-17/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-17/YB-SD15M-Bottom-Cover-LD v2-1;EnsambleMotor_Solid-16/RudderDisk v2.ipt-1;EnsambleMotor_Solid-16/AuxRudderDisk v2.ipt-1,Origin_1A_joint,Eje1A,1A_joint,revolute,"-0,26054","-1,0121","-0,28139","-1,5708","1,4948","-3,1416",base_link,0,0,1,0,0,0,0,,,,,,,,
1B_link,"-0,101462967839371","-0,00906854494073556","0,00616910983255009",0,0,0,"0,0393326462004403","6,09734251114647E-06","-9,65535643546754E-06","-7,14824373690788E-06","7,74003652664274E-05","-1,55226520662938E-06","7,78927637257133E-05",0,0,0,0,0,0,package://hexapod_description/meshes/1B_link.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://hexapod_description/meshes/1B_link.STL,,femurAux.ipt-6;EnsambleMotor_Solid-18/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-18/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-18/YB-SD15M-Bottom-Cover-LD v2-1;EnsambleMotor_Solid-17/AuxRudderDisk v2.ipt-1;tibiaMot.0004.ipt-6;EnsambleMotor_Solid-17/RudderDisk v2.ipt-1,Origin_1B_joint,Eje1B,1B_joint,revolute,"0,06362","-0,00057714","0,005701","1,5708","0,84229","3,1325",1A_link,"-0,044948","-0,050377","-0,99772",0,0,0,0,,,,,,,,
1C_link,"-0,033090334089342","0,0336660368962824","-0,0302086703631166",0,0,0,"0,0544820458081965","1,27316084518699E-05","4,95111889607276E-07","2,74622413039355E-06","5,9349683529507E-05","-3,41222918684481E-07","6,55767462467501E-05",0,0,0,0,0,0,package://hexapod_description/meshes/1C_link.STL,"0,647058823529412","0,647058823529412","0,647058823529412",1,0,0,0,0,0,0,package://hexapod_description/meshes/1C_link.STL,,tibianueva.ipt-6;EnsambleMotor_Solid-18/AuxRudderDisk v2.ipt-1;EnsambleMotor_Solid-18/RudderDisk v2.ipt-1,Origin_1C_joint,Eje1C,1C_joint,revolute,"-0,16408","-0,0084589","-0,027239","1,5708",0,"2,2612",1B_link,"-0,010218","-0,99772","-0,066736",0,0,0,0,,,,,,,,
2A_link,"0,0283381331359435","0,0018000301279979","-0,0193897794249602",0,0,0,"0,0284343550237236","3,40412649548419E-06","-2,49256695541837E-07","7,03815223502087E-07","9,48832774725598E-06","2,03998763948826E-08","9,38158391234098E-06",0,0,0,0,0,0,package://hexapod_description/meshes/2A_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://hexapod_description/meshes/2A_link.STL,,EnsambleMotor_Solid-13/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-13/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-13/YB-SD15M-Bottom-Cover-LD v2-1;Coxa.ipt-5;EnsambleMotor_Solid-14/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-14/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-14/YB-SD15M-Bottom-Cover-LD v2-1;EnsambleMotor_Solid-13/AuxRudderDisk v2.ipt-1;EnsambleMotor_Solid-13/RudderDisk v2.ipt-1,Origin_2A_joint,Eje2A,2A_joint,revolute,"-0,37826","-1,0332","-0,20983","-1,5708","0,4478","-3,1416",base_link,0,0,1,0,0,0,0,,,,,,,,
2B_link,"0,0971031270170688","0,0308474718829804","0,00609990630170254",0,0,0,"0,0393326465544562","1,35269679145865E-05","-2,38232906455588E-05","6,65936411377535E-06","6,99745889805511E-05","3,06959409199375E-06","7,78889146752254E-05",0,0,0,0,0,0,package://hexapod_description/meshes/2B_link.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://hexapod_description/meshes/2B_link.STL,,tibiaMot.0004.ipt-5;femurAux.ipt-5;EnsambleMotor_Solid-15/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-15/YB-SD15M-Bottom-Cover-LD v2-1;EnsambleMotor_Solid-15/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-14/RudderDisk v2.ipt-1;EnsambleMotor_Solid-14/AuxRudderDisk v2.ipt-1,Origin_2B_joint,Eje2B,2B_joint,revolute,"0,063599","-0,00057839","-0,0154","-1,5708","-1,0606","-0,0090858",2A_link,"0,032866","0,05873","-0,99773",0,0,0,0,,,,,,,,
2C_link,"0,0376323974391738","0,00340615362496775","0,0820694920721581",0,0,0,"0,0544820458081966","6,09511692357023E-05","-4,51710949126228E-07","1,51853487638885E-05","5,9349517098051E-05","3,93365815399307E-07","1,73573518943733E-05",0,0,0,0,0,0,package://hexapod_description/meshes/2C_link.STL,"0,956862745098039","0,956862745098039","0,956862745098039",1,0,0,0,0,0,0,package://hexapod_description/meshes/2C_link.STL,,EnsambleMotor_Solid-15/AuxRudderDisk v2.ipt-1;EnsambleMotor_Solid-15/RudderDisk v2.ipt-1;tibianueva.ipt-5,Origin_2C_joint,Eje2C,2C_joint,revolute,"0,1711",0,"0,0097395","-1,5708",0,"0,6562",2B_link,"0,061878","0,99773","0,026483",0,0,0,0,,,,,,,,
3A_link,"0,0282538248535282","0,00316522296964278","-0,0193896862723197",0,0,0,"0,0284343550141747","3,42805419316551E-06","-4,55153814030612E-07","7,02697330128222E-07","9,46439553188908E-06","4,42849901442824E-08","9,38158843376235E-06",0,0,0,0,0,0,package://hexapod_description/meshes/3A_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://hexapod_description/meshes/3A_link.STL,,EnsambleMotor_Solid-10/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-10/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-10/YB-SD15M-Bottom-Cover-LD v2-1;Coxa.ipt-4;EnsambleMotor_Solid-11/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-11/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-11/YB-SD15M-Bottom-Cover-LD v2-1;EnsambleMotor_Solid-10/AuxRudderDisk v2.ipt-1;EnsambleMotor_Solid-10/RudderDisk v2.ipt-1,Origin_3A_joint,Eje3A,3A_joint,revolute,"-0,37491","-1,0332","-0,071745","-1,5708","-0,6336","3,1416",base_link,0,0,1,0,0,0,0,,,,,,,,
3B_link,"0,0936143571361396","0,0396549640963982","0,0112098698780352",0,0,0,"0,0393326465589664","1,83891005641566E-05","-2,89460406874963E-05","4,61544039926101E-06","6,47562952964613E-05","2,87772724012991E-06","7,82450757103513E-05",0,0,0,0,0,0,package://hexapod_description/meshes/3B_link.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://hexapod_description/meshes/3B_link.STL,,tibiaMot.0004.ipt-4;EnsambleMotor_Solid-12/YB-SD15M-Middle-Cover-LD v2-1;EnsambleMotor_Solid-12/YB-SD15M-Top-Cover-LD v3-1;EnsambleMotor_Solid-12/YB-SD15M-Bottom-Cover-LD v2-1;EnsambleMotor_Solid-11/RudderDisk v2.ipt-1;EnsambleMotor_Solid-11/AuxRudderDisk v2.ipt-1;femurAux.ipt-4,Origin_3B_joint,Eje3B,3B_joint,revolute,"0,063599","-0,0005902","-0,0154","-1,5708","-1,1557","-0,0092768",3A_link,"0,040861","0,092713","-0,99485",0,0,0,0,,,,,,,,
3C_link,"-0,09160332682956","0,0140314968158131","-0,0528777330076029",0,0,0,"0,0544820458081965","1,58527042919939E-05","5,18131990033039E-07","1,27453635434955E-05","5,9374034864698E-05","-6,77573003440911E-07","6,24312990714349E-05",0,0,0,0,0,0,package://hexapod_description/meshes/3C_link.STL,"0,647058823529412","0,647058823529412","0,647058823529412",1,0,0,0,0,0,0,package://hexapod_description/meshes/3C_link.STL,,tibianueva.ipt-4;EnsambleMotor_Solid-12/RudderDisk v2.ipt-1;EnsambleMotor_Solid-12/AuxRudderDisk v2.ipt-1,Origin_3C_joint,Eje3C,3C_joint,revolute,"0,1711",0,0,"1,5709","2,2069E-05","-0,76529",3B_link,"-0,034736","-0,99486","-0,09511",0,0,0,0,,,,,,,,
